species_id	mean_relatedness	sporulation_score
Erysipelotrichaceae_bacterium_55770	0.123750303742047	0.409090909090909
Lachnospiraceae_bacterium_56833	0.188858628673256	0.46969696969697
Acidaminococcus_intestini_54097	0.254784485571889	0.181818181818182
Lachnospiraceae_bacterium_51870	0.327938038795684	0.46969696969697
Subdoligranulum_sp_62068	0.363753742524706	0.5
Coprobacillus_sp_47700	0.402522004438435	0.424242424242424
Oscillospiraceae_bacterium_54867	0.44192628171472	0.53030303030303
Clostridium_leptum_61499	0.489342640656935	0.545454545454545
Clostridiales_bacterium_56470	0.499942419963128	0.53030303030303
Blautia_wexlerae_56130	0.509512769518367	0.46969696969697
Faecalibacterium_cf_62236	0.519442809536639	0.393939393939394
Odoribacter_laneus_62216	0.574144613821161	0.196969696969697
Dorea_longicatena_61473	0.598231269605563	0.454545454545455
Ruminococcus_gnavus_57638	0.60056676691552	0.515151515151515
Faecalibacterium_prausnitzii_62201	0.612259136515372	0.409090909090909
Bifidobacterium_longum_57796	0.614420134928965	0.106060606060606
Bacteroides_pectinophilus_61619	0.620060984956239	0.439393939393939
Paraprevotella_xylaniphila_62280	0.629789773059574	0.136363636363636
Anaerostipes_hadrus_55206	0.636283632577669	0.53030303030303
Bacteroides_ovatus_58035	0.642563109699726	0.181818181818182
Odoribacter_splanchnicus_62174	0.647637571716166	0.196969696969697
Ruminococcus_obeum_61472	0.653147744195058	0.424242424242424
Sutterella_wadsworthensis_62218	0.654085572068385	0.151515151515152
Bacteroides_faecis_58503	0.654863844619871	0.181818181818182
Bacteroides_fragilis_56548	0.681686439513001	0.166666666666667
Alistipes_sp_60764	0.684078136667081	0.121212121212121
Butyricimonas_virosa_58742	0.688249915448638	0.181818181818182
Coprococcus_comes_61587	0.693362283159418	0.439393939393939
Bacteroides_salyersiae_54873	0.695415469419914	0.166666666666667
Bacteroides_caccae_53434	0.698900978461721	0.181818181818182
Alistipes_shahii_62199	0.7033917640081	0.106060606060606
Collinsella_sp_62205	0.704069989322816	0.166666666666667
Ruminococcus_torques_62045	0.705826100796781	0.46969696969697
Roseburia_intestinalis_56239	0.706722549977293	0.53030303030303
Eubacterium_hallii_61477	0.708497080309984	0.454545454545455
Bacteroides_massiliensis_44749	0.715115903548623	0.166666666666667
Bacteroides_vulgatus_57955	0.715326697550349	0.166666666666667
Eubacterium_ramulus_59802	0.715627710901101	0.484848484848485
Roseburia_inulinivorans_61943	0.716452471259779	0.5
Bacteroides_eggerthii_54457	0.722352834365203	0.166666666666667
Ruminococcus_lactaris_55568	0.729310927162296	0.46969696969697
Parabacteroides_merdae_56972	0.733060531492318	0.166666666666667
Bacteroides_finegoldii_57739	0.735786661023898	0.166666666666667
Parabacteroides_johnsonii_55217	0.738052079084251	0.181818181818182
Bifidobacterium_adolescentis_56815	0.740820735919762	0.136363636363636
Ruminococcus_champanellensis_61009	0.740870171677855	0.439393939393939
Oscillibacter_sp_60799	0.741657285236364	0.46969696969697
Faecalibacterium_prausnitzii_57453	0.744730115931107	0.424242424242424
Dorea_formicigenerans_56346	0.746190358223437	0.46969696969697
Prevotella_copri_61740	0.749313272306991	0.121212121212121
Coprococcus_eutactus_61480	0.75126574993322	0.454545454545455
Bacteroides_sartorii_54642	0.754391591312497	0.151515151515152
Bacteroides_fragilis_54507	0.7594039474555	0.166666666666667
Alistipes_sp_59510	0.759413272542479	0.151515151515152
Coprococcus_sp_62244	0.759663952963154	0.393939393939394
Parabacteroides_goldsteinii_56831	0.766002358463703	0.212121212121212
Roseburia_hominis_61877	0.766626875675517	0.5
Alistipes_sp_58363	0.76960106398512	0.121212121212121
Bacteroides_uniformis_57318	0.771984701845361	0.136363636363636
Alistipes_senegalensis_58364	0.772269084889773	0.121212121212121
Bacteroides_coprocola_61586	0.772746776049114	0.151515151515152
Burkholderiales_bacterium_56577	0.775605793572181	0.181818181818182
Bacteroidales_bacterium_58650	0.775937838984364	0.136363636363636
Eubacterium_rectale_56927	0.778292987316397	0.424242424242424
Guyana_massiliensis_60772	0.785082398784335	0.333333333333333
Bacteroides_clarus_62282	0.785375114224796	0.166666666666667
Ruminococcus_sp_55468	0.787829138123859	0.46969696969697
Bacteroides_thetaiotaomicron_56941	0.790989978096314	0.166666666666667
Alistipes_finegoldii_56071	0.791098248138982	0.121212121212121
Alistipes_indistinctus_62207	0.793601831491528	0.106060606060606
Eubacterium_ventriosum_61474	0.795076369226901	0.439393939393939
Faecalibacterium_prausnitzii_61481	0.797099008161283	0.409090909090909
Butyrivibrio_crossotus_61674	0.806564369897786	0.484848484848485
Bacteroides_coprophilus_61767	0.809969555896802	0.151515151515152
Clostridium_nexile_61654	0.810459969733087	0.5
Phascolarctobacterium_sp_59817	0.812219080669055	0.227272727272727
Coprobacter_sp_60889	0.814858848578036	0.136363636363636
Parabacteroides_distasonis_56985	0.818413397520601	0.166666666666667
Eubacterium_eligens_61678	0.831367645124929	0.46969696969697
Phascolarctobacterium_sp_59818	0.831768258663299	0.212121212121212
Alistipes_putredinis_61533	0.837003960380796	0.106060606060606
Dialister_succinatiphilus_62213	0.844574732053566	0.227272727272727
Alistipes_onderdonkii_55464	0.846581166626161	0.136363636363636
Bacteroides_intestinalis_61596	0.850436544021106	0.181818181818182
Dialister_invisus_61905	0.852300999968834	0.181818181818182
Coprobacter_fastidiosus_56550	0.857855622121053	0.151515151515152
Sutterella_wadsworthensis_56828	0.860546301022727	0.151515151515152
Bacteroides_cellulosilyticus_58046	0.861724648443597	0.151515151515152
Bacteroides_stercoris_56735	0.866177719507789	0.166666666666667
Paraprevotella_clara_33712	0.877291258839491	0.136363636363636
Barnesiella_intestinihominis_62208	0.87876366870033	0.151515151515152
Prevotella_stercorea_58308	0.879628549137338	0.136363636363636
Akkermansia_muciniphila_55290	0.882139241748203	0.196969696969697
Bacteroides_plebeius_61623	0.887943342341419	0.151515151515152
Clostridium_sp_61482	0.890243733924889	0.439393939393939
Bacteroides_nordii_55557	0.904693055175902	0.151515151515152
Ruminococcus_bromii_62047	0.906898887729041	0.515151515151515
Eubacterium_siraeum_57634	0.909551775249203	0.424242424242424
Ruminococcus_bicirculans_59300	0.909709209175542	0.378787878787879
Phascolarctobacterium_succinatutens_61948	0.921314918452652	0.212121212121212
Escherichia_coli_58110	0.930063689785118	0.181818181818182
